test_case_id,step_number,endpoint,method,test_data_row,request_params,request_body,final_url,response_status,expected_status,execution_time,status
_projects_GET_1_1,2,get-/projects,GET,1,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&sort=asc&visibility=public,200,2xx,0.347s,PASS
_projects_GET_1_1,2,get-/projects,GET,2,"{""min_access_level"": 15}",{},http://localhost:30000/api/v4/projects?min_access_level=15,200,2xx,0.047s,PASS
_projects_GET_1_1,2,get-/projects,GET,3,"{""id_after"": ""abc""}",{},http://localhost:30000/api/v4/projects?id_after=abc,400,2xx,0.047s,FAIL
_projects_GET_1_1,2,get-/projects,GET,4,"{""last_activity_after"": ""2024-06-01T12:00:00Z"", ""last_activity_before"": ""2024-06-30T23:59:59Z""}",{},http://localhost:30000/api/v4/projects?last_activity_after=2024-06-01T12%3A00%3A00Z&last_activity_before=2024-06-30T23%3A59%3A59Z,200,2xx,0.098s,PASS
_projects_GET_1_1,2,get-/projects,GET,5,"{""last_activity_after"": ""06/01/2024 12:00:00""}",{},http://localhost:30000/api/v4/projects?last_activity_after=06%2F01%2F2024+12%3A00%3A00,200,2xx,0.051s,PASS
_projects_GET_1_1,2,get-/projects,GET,6,{},{},http://localhost:30000/api/v4/projects,200,2xx,0.042s,PASS
_projects_GET_1_1,2,get-/projects,GET,7,"{""min_access_level"": 30}",{},http://localhost:30000/api/v4/projects?min_access_level=30,200,2xx,0.050s,PASS
_projects_GET_1_1,2,get-/projects,GET,8,"{""order_by"": ""created_at"", ""sort"": ""asc""}",{},http://localhost:30000/api/v4/projects?order_by=created_at&sort=asc,200,2xx,0.472s,PASS
_projects_GET_1_1,2,get-/projects,GET,9,"{""archived"": true, ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&visibility=public,200,2xx,0.067s,PASS
_projects_GET_1_1,2,get-/projects,GET,10,"{""archived"": true, ""order_by"": ""created_at"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&order_by=created_at&visibility=public,200,2xx,0.078s,PASS
_projects_GET_1_1,2,get-/projects,GET,11,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&sort=asc&visibility=public,200,2xx,0.090s,PASS
_projects_GET_1_1,2,get-/projects,GET,12,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&sort=asc,200,2xx,0.064s,PASS
_projects_GET_1_1,2,get-/projects,GET,13,"{""archived"": true, ""min_access_level"": 30, ""order_by"": ""created_at"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&order_by=created_at&visibility=public,200,2xx,0.083s,PASS
_projects_GET_1_1,2,get-/projects,GET,14,"{""archived"": true, ""min_access_level"": 30, ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&min_access_level=30&sort=asc&visibility=public,200,2xx,0.071s,PASS
_projects_GET_1_1,2,get-/projects,GET,15,"{""archived"": true, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?archived=True&order_by=created_at&sort=asc&visibility=public,200,2xx,0.069s,PASS
_projects_GET_1_1,2,get-/projects,GET,16,"{""min_access_level"": 30, ""order_by"": ""created_at"", ""sort"": ""asc"", ""visibility"": ""public""}",{},http://localhost:30000/api/v4/projects?min_access_level=30&order_by=created_at&sort=asc&visibility=public,200,2xx,0.329s,PASS
_projects_GET_1_1,2,get-/projects,GET,17,"{""archived"": ""tru""}",{},http://localhost:30000/api/v4/projects?archived=tru,400,2xx,0.029s,FAIL
_projects_GET_1_1,2,get-/projects,GET,18,"{""id_after"": ""abc""}",{},http://localhost:30000/api/v4/projects?id_after=abc,400,2xx,0.032s,FAIL
_projects_GET_1_1,2,get-/projects,GET,19,"{""last_activity_after"": ""2021-02-30T25:61:61Z""}",{},http://localhost:30000/api/v4/projects?last_activity_after=2021-02-30T25%3A61%3A61Z,400,2xx,0.038s,FAIL
_projects_GET_1_1,2,get-/projects,GET,20,"{""min_access_level"": 15}",{},http://localhost:30000/api/v4/projects?min_access_level=15,200,2xx,0.052s,PASS
_projects_GET_1_1,2,get-/projects,GET,21,"{""order_by"": ""random_field""}",{},http://localhost:30000/api/v4/projects?order_by=random_field,400,2xx,0.029s,FAIL
_projects_GET_1_1,2,get-/projects,GET,22,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.054s,PASS
_projects_GET_1_1,2,get-/projects,GET,23,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.038s,PASS
_projects_GET_1_1,2,get-/projects,GET,24,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.025s,PASS
_projects_GET_1_1,2,get-/projects,GET,25,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.058s,PASS
_projects_GET_1_1,2,get-/projects,GET,26,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.036s,PASS
_projects_GET_1_1,2,get-/projects,GET,27,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.037s,PASS
_projects_GET_1_1,2,get-/projects,GET,28,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.028s,PASS
_projects_GET_1_1,2,get-/projects,GET,29,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.024s,PASS
_projects_GET_1_1,2,get-/projects,GET,30,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.029s,PASS
_projects_GET_1_1,2,get-/projects,GET,31,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.026s,PASS
_projects_GET_1_1,2,get-/projects,GET,32,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.031s,PASS
_projects_GET_1_1,2,get-/projects,GET,33,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.027s,PASS
_projects_GET_1_1,2,get-/projects,GET,34,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.025s,PASS
_projects_GET_1_1,2,get-/projects,GET,35,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.035s,PASS
_projects_GET_1_1,2,get-/projects,GET,36,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.032s,PASS
_projects_GET_1_1,2,get-/projects,GET,37,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.028s,PASS
_projects_GET_1_1,2,get-/projects,GET,38,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.025s,PASS
_projects_GET_1_1,2,get-/projects,GET,39,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.026s,PASS
_projects_GET_1_1,2,get-/projects,GET,40,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.041s,PASS
_projects_GET_1_1,2,get-/projects,GET,41,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.026s,PASS
_projects_GET_1_1,2,get-/projects,GET,42,"{""archived"": -9999999.0, ""min_access_level"": -9999999.0, ""order_by"": """", ""sort"": """", ""visibility"": """"}",{},http://localhost:30000/api/v4/projects?archived=-9999999.0&min_access_level=-9999999.0&order_by=&sort=&visibility=,400,4xx,0.027s,PASS
